VANDERLEI MACRIS,SP,PSDB,50.0
DÉCIO LIMA,SC,PT,62.76
BETO MANSUR,SP,PRB,32.7
ANDERSON FERREIRA,PE,PR,120.0
ANGELA ALBINO,SC,PCdoB,368.19
EDUARDO CUNHA,RJ,PMDB,62.9
GIACOBO,PR,PR,350.05
DR. SINVAL MALHEIROS,SP,PTN,-14.1
ROBERTO FREIRE,SP,PPS,100.0
VICENTINHO,SP,PT,143.14
ALESSANDRO MOLON,RJ,REDE,57.0
AUGUSTO COUTINHO ,PE,SD,200.0
ARNON BEZERRA,CE,PTB,30.39
VINICIUS CARVALHO,SP,PRB,298.9
SÉRGIO REIS,SP,PRB,591.06
MARCUS PESTANA,MG,PSDB,205.02
CARLOS MELLES,MG,DEM,108.07
DELEGADO EDSON MOREIRA,MG,PR,357.17
LAERCIO OLIVEIRA,SE,SD,365.13
SANDRO ALEX,PR,PSD,497.58
MARCO MAIA,RS,PT,50.0
VICENTE ARRUDA,CE,PDT,485.58
HÉLIO LEITE,PA,DEM,1220.0
SÁGUAS MORAES,MT,PT,96.0
EDMILSON RODRIGUES,PA,PSOL,1421.63
ANTONIO BULHÕES,SP,PRB,49.49
MARCON,RS,PT,100.0
RICARDO BENTINHO,SP,PRB,966.68
VINICIUS CARVALHO,SP,PRB,255.0
ANTONIO IMBASSAHY,BA,PSDB,-50.0
CAJAR NARDES,RS,PR,100.0
JOSÉ GUIMARÃES,CE,PT,40.0
MARCON,RS,PT,227.33
ANTONIO IMBASSAHY,BA,PSDB,62.28
JULIO LOPES,RJ,PP,-1438.58
BILAC PINTO,MG,PR,-144.03
ZÉ SILVA,MG,SD,172.11
ELI CORRÊA FILHO,SP,DEM,927.63
SANDES JÚNIOR,GO,PP,391.0
LEONARDO QUINTÃO,MG,PMDB,100.0
GIACOBO,PR,PR,972.69
SÉRGIO MORAES,RS,PTB,406.87
ARNALDO JORDY,PA,PPS,280.0
HUGO MOTTA,PB,PMDB,5000.0
JOSUÉ BENGTSON,PA,PTB,20.0
MIGUEL LOMBARDI,SP,PR,140.0
SILAS FREIRE,PI,PR,421.66
JOÃO ARRUDA,PR,PMDB,100.0
JOÃO CAMPOS,GO,PRB,799.63
ALCEU MOREIRA,RS,PMDB,132.0
MÁRIO NEGROMONTE JR.,BA,PP,123.9
BENJAMIN MARANHÃO,PB,SD,71.25
RENATO MOLLING,RS,PP,3428.31
LUIZ FERNANDO FARIA,MG,PP,23.75
ANGELIM,AC,PT,2500.0
SÁGUAS MORAES,MT,PT,76.12
GABRIEL GUIMARÃES,MG,PT,70.0
HEITOR SCHUCH,RS,PSB,1054.69
CHICO LOPES,CE,PCdoB,130.6
LAURA CARNEIRO,RJ,PMDB,1405.63
NILSON PINTO,PA,PSDB,92.0
WALDIR MARANHÃO,MA,PP,49.42
RUBENS BUENO,PR,PPS,38.19
ELIZEU DIONIZIO,MS,PSDB,1750.62
EVANDRO ROMAN,PR,PSD,213.6
LUCIO MOSQUINI,RO,PMDB,200.0
RONALDO NOGUEIRA,RS,PTB,1490.0
BRUNA FURLAN,SP,PSDB,209.22
GLAUBER BRAGA,RJ,PSOL,992.3
MAJOR OLIMPIO,SP,SD,44.5
EDINHO BEZ,SC,PMDB,2543.75
GIOVANI CHERINI,RS,PR,100.0
MARCO MAIA,RS,PT,100.0
ALEXANDRE LEITE,SP,DEM,423.0
FERNANDO TORRES,BA,PSD,22.08
VICENTE ARRUDA,CE,PDT,447.58
MÁRCIO MARINHO,BA,PRB,202.38
FRANCISCO CHAPADINHA,PA,PTN,1.7
MARCELO CASTRO,PI,PMDB,374.73
MARCELO MATOS,RJ,PHS,1.28
FÁBIO RAMALHO,MG,PMDB,194.1
VANDERLEI MACRIS,SP,PSDB,20.0
LUCIO MOSQUINI,RO,PMDB,187.78
OTAVIO LEITE,RJ,PSDB,118.67
LUIZIANNE LINS,CE,PT,132.8
VICENTE ARRUDA,CE,PDT,642.68
CABO SABINO,CE,PR,150.01
DR. JORGE SILVA,ES,PHS,5181.85
LUIS CARLOS HEINZE,RS,PP,2.35
BALEIA ROSSI,SP,PMDB,80.0
EVAIR VIEIRA DE MELO,ES,PV,155.15
CACÁ LEÃO,BA,PP,0.16
MARCON,RS,PT,130.0
ALEXANDRE SERFIOTIS,RJ,PMDB,59.41
DIEGO GARCIA,PR,PHS,179.0
SIMONE MORGADO,PA,PMDB,130.0
CÉSAR MESSIAS,AC,PSB,90.99
PEDRO CUNHA LIMA,PB,PSDB,4500.0
ZECA CAVALCANTI,PE,PTB,37.5
DÉCIO LIMA,SC,PT,638.9
PAUDERNEY AVELINO,AM,DEM,-448.63
DELEGADO EDSON MOREIRA,MG,PR,100.0
DAMIÃO FELICIANO,PB,PDT,120.01
ALEXANDRE SERFIOTIS,RJ,PMDB,150.0
SÁGUAS MORAES,MT,PT,14.13
VANDERLEI MACRIS,SP,PSDB,277.58
ROCHA,AC,PSDB,199.54
ANTÔNIO JÁCOME,RN,PTN,175.85
JOSÉ CARLOS ARAÚJO,BA,PR,216.8
HUGO LEAL,RJ,PSB,11.2
LUCIO MOSQUINI,RO,PMDB,154.69
CHRISTIANE DE SOUZA YARED,PR,PR,18.0
MARIA HELENA,RR,PSB,6000.0
SÉRGIO MORAES,RS,PTB,132.04
AGUINALDO RIBEIRO,PB,PP,1378.69
PEDRO UCZAI,SC,PT,50.0
JANDIRA FEGHALI,RJ,PCdoB,968.58
ADEMIR CAMILO,MG,PTN,32.0
DANRLEI DE DEUS HINTERHOLZ,RS,PSD,614.0
CAIO NARCIO,MG,PSDB,54.0
CARLOS SAMPAIO,SP,PSDB,2405.02
ZÉ SILVA,MG,SD,4.8
VANDERLEI MACRIS,SP,PSDB,100.0
LINDOMAR GARÇON,RO,PRB,273.75
GIOVANI CHERINI,RS,PR,100.0
JORGE BOEIRA,SC,PP,130.0
ONYX LORENZONI,RS,DEM,1420.63
BOHN GASS,RS,PT,211.35
LINCOLN PORTELA,MG,PRB,100.0
PAULO MARTINS,PR,PSDB,173.02
MARCO MAIA,RS,PT,4174.86
LAUDIVIO CARVALHO,MG,SD,25.46
AFONSO HAMM,RS,PP,171.0
ZÉ CARLOS,MA,PT,818.69
ANTÔNIO JÁCOME,RN,PTN,181.65
DR. SINVAL MALHEIROS,SP,PTN,6.6
WILSON FILHO,PB,PTB,137.39
JOÃO PAULO PAPA,SP,PSDB,23.0
LUCIANA SANTOS,PE,PCdoB,605.63
RENATA ABREU,SP,PTN,1104.11
JOSÉ OTÁVIO GERMANO,RS,PP,140.78
ROGÉRIO ROSSO,DF,PSD,20.7
ALEX MANENTE,SP,PPS,136.03
MÁRIO NEGROMONTE JR.,BA,PP,50.0
JOSE STÉDILE,RS,PSB,13.0
WELITON PRADO,MG,PMB,7500.0
MANOEL JUNIOR,PB,PMDB,3000.0
PAUDERNEY AVELINO,AM,DEM,190.66
EVAIR VIEIRA DE MELO,ES,PV,2219.12
ADELMO CARNEIRO LEÃO,MG,PT,107.28
JORGE SOLLA,BA,PT,429.21
ALEXANDRE SERFIOTIS,RJ,PMDB,100.85
ARNALDO FARIA DE SÁ,SP,PTB,13.85
GENECIAS NORONHA,CE,SD,-1140.58
MARINALDO ROSENDO,PE,PSB,80.0
ANA PERUGINI,SP,PT,7.9
BILAC PINTO,MG,PR,775.5
EDUARDO DA FONTE,PE,PP,267.55
MARQUINHO MENDES,RJ,PMDB,157.68
BENJAMIN MARANHÃO,PB,SD,268.91
MARCOS ABRÃO,GO,PPS,87.5
ANDERSON FERREIRA,PE,PR,4000.0
BENITO GAMA,BA,PTB,276.27
BOHN GASS,RS,PT,35.5
ROBERTO FREIRE,SP,PPS,150.54
ADALBERTO CAVALCANTI,PE,PTB,9900.0
AFONSO MOTTA,RS,PDT,1279.27
ROGÉRIO MARINHO,RN,PSDB,50.0
JÉSSICA SALES,AC,PMDB,1523.79
BALEIA ROSSI,SP,PMDB,676.79
VALDIR COLATTO,SC,PMDB,491.76
JORGINHO MELLO,SC,PR,468.61
MARCUS PESTANA,MG,PSDB,193.65
ELI CORRÊA FILHO,SP,DEM,261.33
MOEMA GRAMACHO,BA,PT,-233.21
LUIZ FERNANDO FARIA,MG,PP,67.2
CREUZA PEREIRA,PE,PSB,190.05
DULCE MIRANDA,TO,PMDB,-308.73
AUREO,RJ,SD,408.01
SÉRGIO REIS,SP,PRB,30.39
JUSCELINO FILHO,MA,DEM,335.33
ANDRÉ FUFUCA,MA,PP,130.0
MARCELO MATOS,RJ,PHS,385.83
LUIZ CLÁUDIO,RO,PR,1680.0
MARCELO SQUASSONI,SP,PRB,49.06
EDINHO ARAÚJO,SP,PMDB,197.99
AFONSO MOTTA,RS,PDT,30.0
MARIA DO ROSÁRIO,RS,PT,30.3
KEIKO OTA,SP,PSB,500.89
MARINHA RAUPP,RO,PMDB,130.0
MARCO MAIA,RS,PT,183.64
GIVALDO VIEIRA,ES,PT,880.0
DIEGO GARCIA,PR,PHS,15.0
VITOR LIPPI,SP,PSDB,570.49
ANTÔNIO JÁCOME,RN,PTN,200.0
VICENTE ARRUDA,CE,PDT,677.58
LAERCIO OLIVEIRA,SE,SD,464.35
JULIO LOPES,RJ,PP,539.63
LUCIANA SANTOS,PE,PCdoB,112.0
CACÁ LEÃO,BA,PP,137.73
RONALDO MARTINS,CE,PRB,785.76
CARLOS EDUARDO CADOCA,PE,PDT,200.0
ROSANGELA GOMES,RJ,PRB,163.03
LUIZA ERUNDINA,SP,PSOL,76.01
ROBERTO BRITTO,BA,PP,-587.69
MARIANA CARVALHO,RO,PSDB,1275.66
WILLIAM WOO,SP,PP,50.0
SÉRGIO REIS,SP,PRB,953.0
GORETE PEREIRA,CE,PR,-48.11
ANA PERUGINI,SP,PT,3000.0
TEREZA CRISTINA,MS,PSB,357.84
VALDIR COLATTO,SC,PMDB,10.86
JANETE CAPIBERIBE,AP,PSB,21.0
TENENTE LÚCIO,MG,PSB,3500.0
TIRIRICA,SP,PR,1291.89
SILAS FREIRE,PI,PR,450.0
CAETANO,BA,PT,274.63
ONYX LORENZONI,RS,DEM,31.15
RAFAEL MOTTA,RN,PSB,130.0
CAPITÃO AUGUSTO,SP,PR,1000.0
WALDENOR PEREIRA,BA,PT,34.36
HEITOR SCHUCH,RS,PSB,40.0
HISSA ABRAHÃO,AM,PDT,100.0
MARGARIDA SALOMÃO,MG,PT,173.31
LEONARDO PICCIANI,RJ,PMDB,1371.98
WLADIMIR COSTA,PA,SD,714.58
SILVIO TORRES,SP,PSDB,80.0
EFRAIM FILHO,PB,DEM,619.66
AFONSO FLORENCE,BA,PT,1223.54
