Country,Average GDP,Population,Life expectancy
Papua New Guinea,456.2063352051644,6791317,67.2
Paraguay,1100.0083455502347,6862812,77.2
Peru,2207.8860317600934,30741062,73.7
Philippines,912.4639094793428,102624209,69.2
Poland,4019.9961211971827,38523261,77.6
Portugal,4600.001469028168,10833816,79.3
Puerto Rico,3252.024510961502,3578056,79.4
Qatar,12559.992851522069,2258283,78.7
Reunion,1319.588604311737,699000,72.7
Romania,2482.5600342722996,21599736,75.1
Russia,3557.13457653662,142355415,70.8
Rwanda,210.35918995680754,12988423,60.1
Saint Kitts and Nevis,1809.8115705126759,52329,75.7
Saint Lucia,1419.7639468563382,164464,77.8
Saint Martin,0.0,31949,78.1
Saint Vincent and the Grenadines,1050.287304657277,102350,75.3
Samoa,757.4272032065727,198926,73.7
San Marino,5829.101814328638,33285,83.3
Sao Tome and Principe,425.2298404638498,197541,64.9
Saudi Arabia,6021.574910396244,28160273,75.3
Senegal,460.16093287276993,14320055,61.7
Serbia,3156.8589205492963,7143921,75.5
Seychelles,2963.4879525971837,93186,74.7
Sierra Leone,327.9113029399061,6018888,58.2
Singapore,6056.504001942254,5781728,85.0
Slovenia,4794.065290061033,1978029,78.2
Solomon Islands,363.4103486798122,635027,75.3
Somalia,333.6114405352113,10817354,52.4
South Africa,2781.1540280028166,54300704,63.1
South Sudan,551.4204568220657,12530717,0.0
Spain,5925.419132652582,48563476,81.7
Sri Lanka,936.7362719694836,22235000,76.8
Sudan,553.6005956098592,36729501,64.1
Suriname,1307.313973455399,585824,72.2
Svalbard,0.0,1872,0.0
Swaziland,966.280964058216,1451428,51.6
Sweden,8222.140103629108,9880604,82.1
Switzerland,11377.057086112678,8179294,82.6
Syria,1762.5123857746476,17185170,74.9
Taiwan,4194.660470586384,23464787,80.1
Tajikistan,1127.3642879070424,8330946,67.7
Tanzania,263.071166659155,52482726,62.2
Thailand,991.8178221629108,68200824,74.7
Timor-Leste,324.9993772201878,1261072,68.1
Togo,349.35241990610325,7756937,65.0
Tokelau,4.175740785915493,1337,0.0
Tonga,750.9865064638497,106513,76.2
Trinidad and Tobago,2477.6143620272305,1220479,72.9
Tunisia,1100.2574682291079,11134588,76.1
Turkey,2325.5276418300473,80274604,74.8
Turkmenistan,1876.6686335629108,5291317,70.1
